"B1","B2","B3","B4","B55","B6","B7","B10","B11","profundidade_S","profundidade_ZF","profundidade_F","temperatura_ar","temperatura_agua_S","temperatura_agua_ZF","temperatura_agua_F","condutividade_eletrica_S","condutividade_eletrica_ZF","condutividade_eletrica_F","ph_S","ph_ZF","ph_F","oxigenio_dissolvido_S","oxigenio_dissolvido_ZF","oxigenio_dissolvido_F","clorofila_a_S","clorofila_a_ZF","clorofila_a_F","fosforo_S","fosforo_ZF","fosforo_F","nitrogenio_S","nitrogenio_ZF","nitrogenio_F","solidos_suspensao_S","solidos_suspensao_ZF","solidos_suspensao_F","alcalinidade_S","alcalinidade_ZF","alcalinidade_F","nitrato_S","nitrato_ZF","nitrato_F","dbo_S","dbo_ZF","dbo_F","sdt_S","sdt_ZF","sdt_F","potencial_redox_S","potencial_redox_ZF","potencial_redox_F","coliformes_termotolerantes_S","coliformes_termotolerantes_ZF","coliformes_termotolerantes_F","cor_verdadeira_S","cor_verdadeira_ZF","cor_verdadeira_F","ferro_dissolvido_S","ferro_dissolvido_ZF","ferro_dissolvido_F","dqo_S","dqo_ZF","dqo_F","oleos_graxas_S","oleos_graxas_ZF","oleos_graxas_F","solidos_totais_S","solidos_totais_ZF","solidos_totais_F","iet_S","iet_ZF","iet_F","sulfeto_S","sulfeto_ZF","sulfeto_F","sulfato_S","sulfato_ZF","sulfato_F","iqa_S","iqa_ZF","iqa_F","surfactantes_S","surfactantes_ZF","surfactantes_F","turbidez_S","turbidez_ZF","turbidez_F","transparencia_S","transparencia_ZF","transparencia_F","dod_S","dod_ZF","dod_F","manganes_total_S","manganes_total_ZF","manganes_total_F","pontos_coleta","data_imagem","data_coleta"
"255","331","549","201","28","27","23","2949","2919","0.2","3","","24.5","23.6","23.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5","","","","","","","","","10","","","","","","","","","","","","52.5","","","","","","","","","1.57","","","","","","","","","5.54","5.12","","0","","","","","","0.025","","","TM35","23_03_18","28_02_18"
"222","292","436","130","15","11","12","2947","2916","0.2","3","","28.3","26.8","26.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3","","","","","","","","","10","","","","","","","","","","","","56.3","","","","","","","","","1.65","","","","","","","","","3.19","2.45","","0","","","","","","0.025","","","TM40","23_03_18","27_02_18"
"231","323","587","322","51","16","8","2945","2925","0.2","1.5","","25.6","25.1","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","4.78","5.10","","0","","","","","","0","","","TM15","10_05_18","17_05_18"
"242","322","565","319","94","56","36","2941","2921","0.2","1.5","","25.6","25","24.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.92","3.57","","0","","","","","","0","","","TM20","10_05_18","17_05_18"
"323","445","868","643","77","24","16","2943","2924","0.2","1.5","","25.8","25.3","24.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","8.89","8.08","","0","","","","","","0","","","TM25","10_05_18","17_05_18"
"212","262","451","234","52","38","30","2944","2923","0.2","1.5","","26","25.2","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.50","2.97","","0","","","","","","0","","","TM30","10_05_18","16_05_18"
"463","599","1046","565","79","28","16","2942","2921","0.2","1.5","","24.2","25.4","25.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","9.18","7.72","","0","","","","","","0","","","TM35","10_05_18","16_05_18"
"427","553","947","493","125","103","73","2943","2916","0.2","3","","27.3","24.8","24.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","5.88","5.46","","0","","","","","","0","","","TM40","10_05_18","15_05_18"
"260","339","522","254","94","67","54","2946","2930","0.2","3","","25.3","23.5","23.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","10","","","","","","","","","","","","43","","","","","","","","","1.37","","","","","","","","","2.99","4.30","","2","","","","","","0.025","","","TM15","30_08_18","23_08_18"
"221","284","475","269","96","75","55","2941","2924","0.2","3","","25","22.5","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","","","","","","","","","12","","","","","","","","","","","","51","","","","","","","","","1.36","","","","","","","","","3.21","3.42","","2","","","","","","0.025","","","TM20","30_08_18","23_08_18"
